name,number,address,access,time,rest,takeout,map,introduce,shop_image
小野塩元帥,0794-62-0358,兵庫県小野市浄谷町2696-4,神戸電鉄粟生線小野駅車15分,11:00～24:00,無,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
えびす庵,0794-63-1144,兵庫県小野市市場町57-1,神戸電鉄栗生線市場駅徒歩5分,11:00～14:00(L.O.14:00),無,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
お食事処すえひろ,0794-62-2572,兵庫県小野市本町,山陽自動車道三木小野IC車5分,ランチ：11:30～14:00、ディナー：17:00～21:00(L.O.21:00)(※食材がなくなり次第終了いたします。),毎週月曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
CAFFE di COPOLI （カフェ・ド・コポリ）,0794-60-4022,兵庫県小野市大島町1625-1,神戸電鉄粟生線小野駅徒歩9分,7:30～17:00(L.O.16:30),毎週水曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
ふぐ料理 福和家,0794-63-4129,兵庫県小野市浄谷町171-7,中国自動車道滝野社I.C.南へ車20分,ランチ：12:00～14:00(定食4月～9月)、ディナー：17:00～23:00(L.O.22:00),毎週水曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
地鶏屋 小野店,0794-64-8080,兵庫県小野市中島町547-1,神戸電鉄粟生線小野駅車10分,ディナー：17:30～23:00(L.O.22:30)(※食材仕入れの状況で、営業時間の変更もございます。),毎週火曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
ごちそう村 小野店,0794-63-4417,兵庫県小野市王子町519,神戸電鉄粟生線葉多駅徒歩13分,11:30～15:00(L.O.14:30)、17:00～23:00(L.O.22:30)、（金・土・祝前日 17:00～23:30(L.O.23:00)）,年末年始（2016年12月31日～2017年1月1日）,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
うを弘 兵庫県・小野市・小野・東本町,0794-62-2588,兵庫県小野市東本町382-3,神戸電鉄粟生線小野駅徒歩3分,昼食：11:00～14:00(L.O.13:30)、夕食：17:00～21:00(L.O.20:30),無,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
いち家,0794-62-0988,兵庫県小野市中町344-7,神戸電鉄粟生線小野（兵庫県）駅徒歩10分,17:30～22:00,日曜日、祝日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
焼肉商店 あきんど,0794-62-2989,兵庫県小野市黒川町80-30,神戸電鉄粟生線小野（兵庫県）駅徒歩13分,17:00～22:00,無,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
居酒屋蔵,0794-63-7883,兵庫県小野市中町273-17,神戸電鉄粟生線小野（兵庫県）駅徒歩4分,11:00～20:00,木曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
どんぐり,0794-63-5070,兵庫県小野市中町428-12,神戸電鉄粟生線小野（兵庫県）駅徒歩16分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
さかい珈琲 小野店,0794-88-6338,兵庫県小野市敷地町1502-8,神戸電鉄粟生線小野（兵庫県）駅徒歩22分,8:00～20:00（モーニング：8:00〜11:00、パンケーキ：11:00〜20:00）,年末年始,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
喫茶たっくん,0794-63-1335,兵庫県小野市市場町1384-2,神戸電鉄粟生線市場（神戸電鉄線）駅徒歩5分,7:30～18:00,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
みなみ,0794-63-3951,兵庫県小野市大島町563-3,神戸電鉄粟生線小野（神戸電鉄線）駅徒歩12分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
串揚げ居酒屋 からっと亭,0794-63-8482,兵庫県小野市中町344-3,神戸電鉄粟生線小野（兵庫県）駅徒歩10分,17:30～01:00,不定休,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
あけぼの寿司,0794-62-2481,兵庫県小野市上本町20,神戸電鉄粟生線小野（兵庫県）駅徒歩11分,11:00～14:00、16:00～21:00,毎週月曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
Bam Bino,0794-63-8030,兵庫県小野市上本町195-10,神戸電鉄粟生線小野（兵庫県）駅徒歩10分,ランチタイム：11：00～15：00(14：00.L.O)、ディナータイム：18：00～24：00(23：00.L.O),,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
豊源,0794-63-2898,兵庫県小野市本町1-77-1,神戸電鉄粟生線小野（兵庫県）駅徒歩3分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
やきとり山波,0794-63-7489,兵庫県小野市上本町151-1,神戸電鉄粟生線小野（兵庫県）駅徒歩13分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
馬肉専門店 乱丸,0794-88-6908,兵庫県小野市広渡町46-3,神戸電鉄粟生線小野（兵庫県）駅車10分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
大村ラーメン,0794-63-4955,兵庫県小野市黒川町85-35,神戸電鉄粟生線小野（兵庫県）駅徒歩13分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
はらもと焼鳥店,0794-62-2115,兵庫県小野市上本町179-2,神戸電鉄粟生線小野（兵庫県）駅徒歩11分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
たけだ,0794-66-2232,兵庫県小野市粟生町791-1,北条鉄道粟生駅徒歩11分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
和ダイニング 四六時中 小野店,07946-3-6221,兵庫県小野市王子町868-1 イオン小野店,神戸電鉄粟生線小野（兵庫県）駅徒歩20分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
食事処  五人囃,0794-62-5778,兵庫県小野市神明町417-56,神戸電鉄粟生線小野（兵庫県）駅徒歩5分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
HOWBI,0794-63-1225,兵庫県小野市市場町651 2F,神戸電鉄粟生線市場（神戸電鉄線）駅徒歩11分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
キャッスル,0794-63-8972,兵庫県小野市上本町160-4,神戸電鉄粟生線小野（兵庫県）駅徒歩13分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
Avenue de LAPAIX アベニュー ド ラペ,0794-63-1355,兵庫県小野市中島町363-1,神戸電鉄粟生線小野（兵庫県）駅車9分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
bian mall,0794-88-8000,兵庫県小野市市場町926-250 北播磨総合医療センター1F,神戸電鉄粟生線樫山駅徒歩20分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
玉田ボート緑の家,0794-62-7844,兵庫県小野市来住町1158-1,JR加古川線小野町駅徒歩29分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
花丸,0794-62-9175,兵庫県小野市高田町1773-1,ＪＲ加古川線河合西駅徒歩24分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
大長丸,0794-63-2201,兵庫県小野市浄谷町1622-1,神戸電鉄粟生線小野（兵庫県）駅車10分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
日高屋,0794-66-7933,兵庫県小野市復井町1817,JR加古川線青野ヶ原駅徒歩14分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
食事処 ひまわり,0794-64-2020,兵庫県小野市匠台7 匠台テクノプラザ 小野向日葵ホテル内,神戸電鉄粟生線小野（兵庫県）駅車12分,11:00～15:00(L.O.14:30)、17:00～21:00(L.O.20:30),,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
スタジオ パッション,0794-65-0100,兵庫県小野市河合西町796-1,JR加古川線青野ヶ原駅徒歩17分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
カラオケ喫茶 勝,0794-63-7523,兵庫県小野市敷地町1643-2,神戸電鉄粟生線小野（兵庫県）駅車9分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
肉ハウスAZ,0794-66-2561,兵庫県小野市三和町1308,ＪＲ加古川線河合西駅徒歩7分,,,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
